file,sent_id,type,before_context,ours,reference,after_context,accept
br-g17,UMZx,replace,in the profits of the,slave owners:,slave-owners:,"they were fed, clothed, doctored,",
br-g17,jKfH,replace,"symbolic name), agitated continuously the",""" Southern question "".","""Southern question"".",It was nice to be,
br-g17,a/hf,replace,New England world in the,post Civil,post-Civil,"War period, the immigrants having",
br-g18,mq+5,replace,"volume of poems, Pilgrimage and",Wander Years,Wander-Years,"(Vallfart och vandringsar), published in",
br-g18,/k8r,replace,"and its boyhood associations: ""Not","men folk,","men-folk,",but the fields where I,
br-g18,FnlH,replace,"historical novels, The Charles Men","( Karolinerna),","(Karolinerna),","published in 1897-8, he achieved",
br-g19,nlpH,replace,link between Holmes and his,"arch opponent,","arch-opponent,",Dr. Moriarty. The two men,
br-g19,9yqy,replace,"American ""hardboiled"" detective story of","the' 20 s and' 30 s,","the '20s and '30s,",the spirit of the mad,
br-g20,fkth,replace,"is carried second-, third-, and",fourth hand,fourth-hand,as a distortable rumor. In,
br-g21,khv0,replace,essay I called The Leader,Follows -,Follows-,Where? I used his polarity,
br-g21,x39I,replace,a struggle that amounts to,self redefinition -,self-redefinition-,to see if we can,
br-g21,5Rq3,replace,that all of them are,"ex liberals,","ex-liberals,","or modified liberals, with perhaps",
br-g21,fncV,replace,paramount goal of the United,"States,",States,"set long ago, was to",
br-g21,fncV,replace,"the United States, set long","ago,",ago,was to guard the rights,
br-g21,fncV,replace,guard the rights of the,"individual,",individual,"ensure his development, enlarge his",
br-g21,fncV,replace,"of the individual, ensure his","development,",development,"enlarge his opportunity"". This group",
br-g22,wZKq,replace,not merely in the limited,social political economical,social-political-economical,context we are fond of,
br-g22,xPkN,replace,adopted what I would term,""" pseudo capitalism ""","""pseudo-capitalism""",and so took a major,
br-g22,f9Ek,replace,"inhumane, shortsighted and almost exclusively","profit motivated,","profit-motivated,",a picture they could scarcely,
br-g22,dNz1,replace,"the fore, and is basically",anti democratic.,anti-democratic.,"When the proprietor dies, the",
br-g22,7fMZ,replace,problems for myself and my,fellow employees.,fellow-employees.,Any abilities I may have,
br-g23,u0B5,replace,"for instance, to apply the",pound of flesh,pound-of-flesh,characterization to the thrifty Scotchman.,
br-g31,ZOUt,replace,too often meets the confiding,"nature "".","nature"".",Henrietta was discovering in the,
br-g31,nm9l,replace,Father and Mother and each,"other, ""","other""",said Beth on the first,
br-g31,CL+R,replace,"Henrietta had been, appeared as",""" Dummkopf "".","""Dummkopf"".",Sadie studied piano; played Chopin,
br-g39,YzZi,replace,the real estate business in,"savannah,","Savannah,","""and learn days later that",
br-g39,dGFu,replace,"Johnny"", sighed the bank president,",""" the best hearted","""the best-hearted","boy in the world, but",
br-g39,M/wt,replace,York to participate in a,one act play,one-act-play,"competition- and won- Mercer, instead",
br-g39,hlSA,replace,"it, has him sporting a",monocle,monacle,in those Village days. Though,
br-g39,Czrj,replace,too much force on the,monocle,monacle,and broke it. The innocent,
br-g39,RJuF,replace,insisted upon replacing the destroyed,monocle -,monacle-,"and did, over the protests",
br-g39,RJuF,replace,former owner- with a square,monocle.,monacle.,Mercer is supposed to have,
br-g39,i5bK,replace,"""Anyone who wears a square",monocle,monacle,"must be affected""! Everett Miller,",
br-g39,l+v9,replace,"""Have You Got Any Castles,","Baby?"" ,","Baby?"",","and ""Too Marvelous for Words""",
br-g43,nlne,replace,"made, is the phenomenon of","pseudo thinking, pseudo feeling,","pseudo-thinking, pseudo-feeling,","and pseudo willing, which Fromm",
br-g43,nlne,replace,"pseudo thinking, pseudo feeling, and","pseudo willing,","pseudo-willing,",which Fromm discussed in The,
br-g43,G13+,replace,he is contributing to this,pseudo thinking;,pseudo-thinking;,if he instructs them in,
br-g43,OujW,replace,tensional might well be the,"stratagem,","strategem,",the devious technique by which,
br-g44,YJkD,replace,carvings of cavemen and Japanese,colour prints;,colour-prints;,but the possibility of this,
br-g44,rfKr,replace,"let us say, may be",roughly,roughtly,defined as a theme or,
br-g44,BRD9,replace,of personal experience. Thus Burns's,""" My","""My","love is like a red,",
br-g44,BRD9,replace,"is like a red, red","rose ""","rose""","and Hopkins' "" The thunder-purple",
br-g44,BRD9,replace,"red rose "" and Hopkins'",""" The","""The","thunder-purple sea beach, plumed purple",
br-g44,BRD9,replace,"and Hopkins' "" The thunder-purple","sea beach,","sea-beach,","plumed purple of thunder """,
br-g44,BRD9,replace,"sea beach, plumed purple of","thunder ""","thunder""","although clearly intelligible in content,",
br-g44,+65A,replace,with the actions of human,beings.,beings,"Regarded from the outside, an",
br-g44,d9jn,replace,into action of a certain,thought.,thought,The historian's business is to,
br-g44,5pvc,replace,is a characteristic of thoughts,"that,",that,"in re-thinking them we come,",
br-h01,DkvM,replace,"uses for raw, semi-processed and",waste,"waste,",materials; and industrial uses for,
br-h01,dntQ,replace,"Small Business Administration, Washington 25,",D.C. .,D.C..,New Product Introduction for Small,
br-h01,96Sq,replace,What It Does; SBA Business,Loans,Loans;,and Small Business Pooling are,
br-h01,NsSB,replace,Can Assist in Rural Development,( Circular,(Circular,"No. 44), and The Cooperative",
br-h01,NsSB,replace,The Cooperative Farm Credit System,( Circular,(Circular,No. 36 - A). To,
br-h03,0UhY,replace,"the store""? and he said",""" The Same","""The same",fellow who has been running,
br-h03,Jh7g,replace,Others may speak of Speaker,Rayburn' S,RAYBURN'S,uniquely long and devoted service;,
br-h04,XZHx,replace,in 1959 for an average,.027,.027@,per mile. Purchase of state,
br-h04,7mru,replace,business at the rate of,.07,.07@,per mile. Fixed monthly allowances,
br-h04,KCr+,replace,Rhode Island's reimburseable rate of,.07,.07@,per mile for use of,
br-h04,6BRB,replace,average of states' rates is,.076,.076@,per mile. Rhode Island's rate,
br-h04,qhR4,replace,mile. Rhode Island's rate of,.07,.07@,per mile is considerably lower,
br-h04,qhR4,replace,industry nationally which approximate a,.09,.09@,per mile average. Actual mileage,
br-h04,hI9f,replace,expanded highway construction during the,1920 s and' 30 s.,1920s and '30s.,At that time highway engineers,
br-h04,dW/T,replace,averaged an operating cost of,.027,.027@,per mile. Based on this,
br-h05,dBFH,replace,under the provision of law,"""and",""" and",all other tangible personal property,
br-h05,dBFH,delete,upon any place of storage,**h,,shall be taxed to such,
br-h08,AL6k,replace,"therefore, do I, John A.","Notte, Jr., Governor of the State of Rhode Island and Providence Plantations, proclaim the week of April 29 th to May 7 th,","NOTTE, JR., GOVERNOR OF THE STATE OF RHODE ISLAND AND PROVIDENCE PLANTATIONS, PROCLAIM THE WEEK OF APRIL 29TH TO MAY 7TH,","1961, as Rhode Island Heritage",
br-h08,pI4E,replace,"therefore, do i, John A.","Notte, Jr., Governor of the State of Rhode Island and Providence Plantations, proclaim Saturday, May 20 th,","NOTTE, JR., GOVERNOR OF THE STATE OF RHODE ISLAND AND PROVIDENCE PLANTATIONS, PROCLAIM SATURDAY, MAY 20th,","1961, as Armed Forces Day,",
br-h08,7GP7,replace,"therefore, do I, John A.","Notte, Jr., Governor of the State of Rhode Island and Providence Plantations, proclaim Monday, May 22 nd,","NOTTE, JR., GOVERNOR OF THE STATE OF RHODE ISLAND AND PROVIDENCE PLANTATIONS, PROCLAIM MONDAY, MAY 22nd,","1961, as National Maritime Day,",
br-h08,Tpzi,replace,"therefore, do I, John A.","Notte, Jr., Governor of the State of Rhode Island and Providence Plantations, proclaim the week of June 11 th to 17 th,","NOTTE, JR., GOVERNOR OF THE STATE OF RHODE ISLAND AND PROVIDENCE PLANTATIONS, PROCLAIM THE WEEK OF JUNE 11TH TO 17TH,","1961, as Miss Rhode Island",
br-h08,sox+,replace,"therefore, do I, John A.","Notte, Jr., Governor of the State of Rhode Island and Providence Plantations, proclaim Tuesday, October 24 th,","NOTTE, JR., GOVERNOR OF THE STATE OF RHODE ISLAND AND PROVIDENCE PLANTATIONS, PROCLAIM TUESDAY, OCTOBER 24TH,","1961, as United Nations Day,",
br-h08,253f,replace,"therefore, do I, John A.","Notte, Jr., Governor of the State of Rhode Island and Providence Plantations, proclaim Thursday, November 23 rd,","NOTTE, JR., GOVERNOR OF THE STATE OF RHODE ISLAND AND PROVIDENCE PLANTATIONS, PROCLAIM THURSDAY, NOVEMBER 23RD,","1961, as Thanksgiving Day, And",
br-h08,t1Ml,replace,eighty-sixth. John A. Notte Jr.,. Governor.,Governor,,
br-h09,ji9K,replace,"continuous research, testing, development, and",programming,programing,necessary to effectuate the purposes,
br-h09,EZlJ,replace,"Energy Commission, the Department of",Health Education,"Health, Education,","and Welfare, the Department of",
br-h09,9und,replace,"by the Secretary, is below",14 - 1 2,14-1/2,"cents per pound, and such",
br-h09,9und,replace,centum of the difference between,14 - 1 2,14-1/2,cents per pound and the,
br-h09,UVwM,replace,"by the Secretary, is below",14 - 1 2,14-1/2,"cents per pound, and such",
br-h09,UVwM,replace,centum of the difference between,14 - 1 2,14-1/2,cents per pound and the,
br-h11,l//D,replace,"In one of these, an",exploding wire,exploding-wire,device to study systems thermodynamically,
br-h11,G0Ri,replace,consists of two parts: a,fast opening,fast-opening,part and a fast closing,
br-h11,G0Ri,replace,fast opening part and a,fast closing,fast-closing,"part. Using Edgerton's method, the",
br-h11,TURm,replace,"part. Using Edgerton's method, the",fast closing,fast-closing,action is obtained from the,
br-h11,HTRT,replace,of parallel lead wires. The,fast opening,fast-opening,of the shutter consists of,
br-h11,Bkyu,replace,concentrations as low as **f,molecules / **f,molecules/**f,"may be sufficient, as compared",
br-h11,40n9,replace,"behavior of germanium resistors, and",helium 4,helium-4,vapor-pressure measurements (see p. 144).,
br-h11,1EY3,replace,accepted values associated with liquid,helium 4,helium-4,"vapor pressures, differences of about",
br-h11,WXw6,replace,is continuing. Carbon resistors and,impurity doped,impurity-doped,germanium resistors have been investigated,
br-h11,lOqQ,replace,found to be reproducible within,1 3,1/3,millidegree when temperatures were derived,
br-h11,JRa6,replace,liquid helium baths contained in,15 - and 25 - liter,15-and 25-liter,metallic storage dewars. The gradient,
br-h11,VFzY,replace,temperatures slightly greater than the,| l,|l,point. A hydrostatic head correction,
br-h11,IPXz,replace,the helium film flow. Precise,pressure volume temperature,pressure-volume-temperature,measurements on corrosive gases are,
br-h11,um0l,replace,tested. The transducer is a,null type,null-type,instrument and employs a stretched,
br-h11,7O8k,replace,"Air Research and Development Command,",U. S.,U.S.,"Air Force, and had as",
br-h11,CtqQ,replace,"Canada, The Netherlands, United Kingdom,","U. S. S. R.,","U.S.S.R.,","United States, and West Germany,",
br-h11,CA4e,replace,are now in preparation. A,wall stabilized high current,wall-stabilized high-current,arc source was constructed and,
br-h13,SDRb,replace,"Commission, would give the combined",C.&O. - B.&O.,C. & O.-B. & O.,Railroad a total of 185,
br-h13,dzYB,replace,or the three-way New York,Central B.,Central-B.,& O.-C. & O. merger.,
br-h13,yUFo,replace,"avoiding direct intervention, provide a",short-of war,short-of-war,strategy to meet short-of war,
br-h13,yUFo,replace,short-of war strategy to meet,short-of war,short-of-war,infiltration. Primary target would be,
br-h14,3L7a,replace,an allotment percentage less than,33 - 1 3%,33-1/3%,nor more than 75%. If,
br-h14,TlLC,replace,"50% and 30%, respectively. The",pre 1960,pre-1960,rate of Federal participation with,
br-h15,ARaL,replace,provide almost absolute fallout protection.,Pre shaped,Pre-shaped,corrugated metal sections or pre-cast,
br-h15,jEl1,replace,to which is wired a,150 - milliampere flashlight type,150-milliampere flashlight-type,bulb. Tests have shown that,
br-h15,DGBS,replace,continue in many areas. Other,considerations. -If,CONSIDERATIONS.- If,there are outside windows in,
br-h16,BMQR,replace,"about, the substantial lessening of","competition "".","competition"".",The purpose of this provision,
br-h16,8JTH,replace,"competition, have occurred or are","intended "".","intended"".","353 U. S., at 589.",
br-h16,tvVi,replace,was proved as to this,"acquisition "".","acquisition"".","353 U. S., at 607.",
br-h16,B9Th,replace,International Salt Co. v. United,"States ,","States,","332 U. S. 392, 400-401"".",
br-h17,tyy5,replace,for the original report. Pp.,64 - 66.,64-66.,Haydn C. Covington argued the,
br-h17,XUhD,replace,"United States, 348 U.S. 407","(1955),and","(1955), and","United States v. Nugent, 346",
br-h17,XUhD,replace,"United States v. Nugent, 346","U. S .1 ( 1953),","U.S. 1 (1953),",and therefore affirm the judgment.,
br-h17,2rEe,replace,a sugar producer. He claimed,"4 , - D","4,-D",classification as a minister of,
br-h17,KiH9,replace,he was classified in Class,"1, - A.","1,-A.","On November 22, 1952, he",
br-h17,eFpr,replace,form. Thereafter he was classified,"1 , - O.","1,-O.","On April 1, 1953, after",
br-h17,9Wej,replace,"July 30, 1953, reclassified him","1 , - A","1,-A",and upheld this classification after,
br-h17,pwtk,replace,(1955). He was again reclassified,"1 , - A","1,-A",by the local board. There,
br-h17,vUND,replace,Department recommended approval of the,"1 , - A","1,-A",classification. Its ground for this,
br-h17,bL9U,replace,he now devoted only some,6 - 1 2,6-1/2,hours per month to public,
br-h18,QQ85,replace,reading editorials and looking at,public opinion,public-opinion,polls and other reports that,
br-h21,AxbK,replace,The change of emphasis from,conventional type,conventional-type,to missile type warfare must,
br-h21,AxbK,replace,emphasis from conventional type to,missile type,missile-type,warfare must be made with,
br-h21,T19v,replace,"2,, a very promising aerodynamic",ship to surface,ship-to-surface,missile designed to be launched,
br-h21,QkJR,replace,"cancellation of the F-108, a",long range,long-range,interceptor with a speed three,
br-h21,QkJR,replace,in the period of the,mid 1960's.,mid-1960's.,The substantial progress being made,
br-h21,56gj,replace,"role of the B-70, a",long range,long-range,"supersonic bomber. This aircraft, which",
br-h21,mFa7,replace,ICBM's next year. The Minuteman,solid fueled,solid-fueled,ICBM is planned to be,
br-h21,mFa7,replace,planned to be operational about,mid 1963.,mid-1963.,"By 1965, several or all",
br-j01,OUDh,replace,lengths near 3 cm and,10,1o,cm is like that of,
br-j01,OUDh,replace,a black body at about,600',6oo',K. This result suggests a,
br-j01,e7+x,replace,the radio emission came about,3 - 1 2,3-1/2,"days after Full Moon, which",
br-j01,Zfxd,replace,"1956 (Mayer, McCullough, and Sloanaker,","1958 a,","1958a,","b, c), and from Saturn",
br-j01,Cs7h,replace,"NRL 50-foot reflector, which is","altitude azimuth mounted,","altitude-azimuth-mounted,",would have shown a systematic,
br-j01,HkKw,replace,"Roberts, 1960) have shown the",960-mc,960-Mc,emission of Jupiter to be,
br-j01,Wv8T,replace,the radiation from a hypothetical,black-body,black body,which subtends the same solid,
br-j01,EdcE,replace,radiation in the centimeter- and,decimeter wave-length,decimeter-wave-length,range. Radio observations of the,
br-j01,j4ER,replace,"observations at 4.3 mm (Coates,","1959 a),","1959a),",the diameter of the antenna,
br-j01,PgO7,replace,at 4.3 mm by Coates,"(1959 a),","(1959a),",and apparently the emission at,
br-j01,YAQM,replace,"measured (Mayer, McCullough, and Sloanaker,","1958 b),","1958b),",so that the absolute power,
br-j01,5tOu,replace,result of the observations is,(in',(in ',K) **f where the phase,
br-j02,+IGZ,replace,is being transferred to the,cooling,co0ling,medium of the anode. The,
br-j02,aWf+,replace,The cathode consisted of a,"1/4""",1/4'',diameter thoriated tungsten rod attached,
br-j02,aWf+,replace,tungsten rod attached to a,water-cooled,water cooled,copper tube. This tube could,
br-j02,UfHF,replace,design the anode holder is,water-cooled,water cooled,and the heat losses by,
br-j02,8Ao1,replace,heat transfer from the hot,gas,has,to this anode holder outside,
br-j02,8Ao1,replace,this anode holder outside the,region,regime,"of the arc, a carbon",
br-j02,iQ99,replace,a constant arc length of,"0.5""",0.5'',and a current of 100,
br-j03,WvvJ,replace,**f with a clearance of,"0.002""",0.002'',on each side of the,
br-j03,5C2n,replace,one block contained a hole,"1 16 """,1/16'',in diameter which led to,
br-j03,ni3n,replace,weight. The maximum suction was,"3.25""",3.25'',of test fluid measured from,
br-j03,pkWh,replace,"by Lodge of **f, cosec",2lc,2|c,"applies, the pressure difference along",
br-j04,6khe,replace,of 2.55 A or the,non hydrogen bonded,non-hydrogen-bonded,**f interlayer interactions which are,
br-j04,gr/Y,replace,of aqueous chromic acid at,300 - 325' C.,300-325'C.,Dr. Douglass was kind enough,
br-j04,LoVa,replace,used here. 500 ml of,1 M,1M,aqueous **f with 1 g,
br-j04,LoVa,replace,heated in a bomb at,170' C,170'C,for 48 hours. A very,
br-j04,kT0i,replace,"by centrifugation, and dried at",110' C.,110'C.,Differential thermal analysis showed a,
br-j04,O4Zi,replace,very small endothermic reaction at,340' C,340'C,and a large endothermic reaction,
br-j04,O4Zi,replace,a large endothermic reaction at,470' C.,470'C.,This latter reaction is in,
br-j04,NKRi,replace,loss of 1.8% centered at,337' C,337'C,and another weight loss of,
br-j04,NKRi,replace,weight loss of 10.8% at,463' C.,463'C.,The expected weight loss for,
br-j04,hpvc,replace,gases evolved upon heating to,410' C,410'C,indicated nitrogen oxides and water,
br-j04,VutP,replace,The small reaction occurring at,337' C,337'C,is probably caused by decomposition,
br-j04,JLop,replace,which had been heated to,375' C,375'C,for one hour. Emission spectra,
br-j04,iJ8J,replace,"of the material, taken with",CuKla,CuK|a,"radiation, indicated the presence of",
br-j04,+die,replace,of nearly isotropic particles about,0.3 lm,0.3|m,in diameter. The particles appeared,
br-j04,khsh,replace,over the temperature range of,77 - 294' K.,77-294'K.,For the low-temperature measurements the,
br-j04,Krr1,replace,the atmosphere after evacuation at,"375' C,","375'C,",showed the presence of adsorbed,
br-j04,ltst,replace,evacuated and sealed off at,375' C,375'C,which contain no adsorbed water.,
br-j04,WtHd,replace,right circular cylinder with a,height to diameter,height-to-diameter,ratio of 4:1. The top,
br-j05,QChu,replace,less builder; and the dwindling,built soap,built-soap,powders as well as soap,
br-j05,c+0k,replace,a sufficiently high builder/active ratio.,Hard surface,Hard-surface,cleaning in household application is,
br-j05,yOzU,replace,oversimplified differentiation between soft- and,hard surface,hard-surface,cleaning lies in the magnitude,
br-j05,zD31,replace,reactivity. Spring used a Brush,surface analyzer,surface-analyzer,in a metal cleaning study,
br-j05,zD31,replace,Brush surface analyzer in a,metal cleaning,metal-cleaning,study and showed considerable differences,
br-j05,/aQU,replace,"values, such as high- or",low foam,low-foam,"level, perfume content, etc., the",
br-j05,CLQg,replace,fats (esters of glycerol with,long chain,long-chain,"organic acids). Stains, which include",
br-j05,mSoh,replace,detergent actives to congregate at,oil water,oil-water,interfaces in such a manner,
br-j06,sQnT,replace,times from a trap at,- 78',-78',to a liquid air trap,
br-j06,6oVI,replace,purified product was stored at,- 78',-78',in a tube equipped with,
br-j06,bfLG,replace,The radiochlorine was stored at,- 78',-78',in a tube equipped with,
br-j06,5kCQ,replace,with a break seal. This,chlorine carbon,chlorine-carbon,tetrachloride solution was illuminated for,
br-j06,1Lqg,replace,manifold and then allowed to,distill,distil,slowly into the manifold of,
br-j06,niuL,replace,the light passed through only,liquid glass,liquid-glass,interfaces and not gas glass,
br-j06,niuL,replace,liquid glass interfaces and not,gas glass,gas-glass,interfaces. These cells were used,
br-j06,B1fv,replace,which entered the thermostated mineral,oil bath,oil-bath,through a window. Two types,
br-j06,F308,replace,differed by several hundred per,"cent,","cent.,",a systematic series of experiments,
br-j06,/EgL,replace,intensity are given in Table,1. .,"1.,","In series 1, the relative",
br-j06,4bK+,replace,exchange that would have been,observed,oserved,at a relative intensity of,
br-j07,7Hk1,replace,as the particle size- a,1000 - | m diameter,1000-|m-diameter,particle near the orbit of,
br-j07,eAWj,replace,the effects to include the,solar corpuscular radiation,solar-corpuscular-radiation,"pressure, which increases both the",
br-j07,B5Vh,replace,"the corpuscular radiation, i.e., the",solar wind,solar-wind,"protons, must sputter away the",
br-j07,3/H8,replace,The Poynting-Robertson effect causes the,semi major,semi-major,axis of orbits to diminish,
br-j07,SbM8,replace,more eccentric without changing the,semi major,semi-major,axis. This effect can give,
br-j07,YABA,replace,Many other vehicles with smaller,sensitive area exposure time,sensitive-area exposure-time,products contribute some information. The,
br-j07,XsxA,replace,given radius to the inverse,7 2,7/2,power of the radius. Space,
br-j07,8pq1,replace,about **f corresponds to a,10 - | m diameter,10-|m-diameter,"sphere of density **f. However,",
br-j07,5+Ke,replace,of 25 g for a,zero magnitude,zero-magnitude,"meteorite, the other masses are",
br-j07,YtDN,replace,"0.15 g for a **f,",zero magnitude,zero-magnitude,meteorite. The older scales were,
br-j07,bvX7,replace,fair agreement with the inverse,7 2,7/2,power derived from 1958 Alpha,
br-j07,hfyO,replace,into the micrometeorite region. The,solar electromagnetic -,solar-electromagnetic-,and corpuscular-radiation pressure and the,
br-j08,/EKC,replace,would be to create an,aerosol,areosol,or cloud of agent over,
br-j08,hZCr,replace,relative to quantitative sampling and,assessment,assesment,techniques. Much of the older,
br-j08,BnTJ,replace,that a number of critical,meteorological,meterological,parameters must be met for,
br-j08,lIc8,replace,off-shore and vertical to an,on-shore,on-sure,breeze. Spraying continued along a,
br-j08,JvhE,replace,"agents are, of course, highly",host specific.,host-specific.,They do not destroy physical,
br-j09,Uw5+,replace,obtained from a donor (R.,E. .),E.),who had been sensitized 6,
br-j09,RwDx,replace,incubated for 1 hr at,37' C,37'C,before centrifugation. The saline tubes,
br-j09,NOp0,replace,been glycerolized and stored at,- 20' C,-20'C,for approximately 1 year. These,
br-j09,OPA4,replace,These cells were thawed at,37' C,37'C,for 30 min and were,
br-j09,qaKt,replace,a **f cm column of,DEAE-cellulose,EEAE-cellulose,equilibrated with starting buffer. The,
br-j09,VCSx,replace,The chromatography was done at,6' C,6'C,"using gradient elution, essentially according",
br-j09,5DTG,replace,was produced with a so-called,""" cone sphere ""","""cone-sphere""","apparatus, the ""cone"" being a",
br-j09,9zlk,replace,a stream of air at,5' C,5'C,or by negative pressure dialysis,
br-j09,vRrR,replace,the temperature was maintained at,2' C,2'C,by surrounding the apparatus with,
br-j09,gFzL,replace,the strips were stained with,bromophenol,bromphenol,blue and densitometry was carried,
br-j09,Xwwy,replace,in a horizontal position at,1' C.,1'C.,The unstained strips were then,
br-j09,fMpM,replace,at least 500 volumes of,phosphate buffered,phosphate-buffered,"saline, pH 7.2, ionic strength",
br-j09,YrYG,replace,35 to 80 min at,20' C,20'C,in a Spinco model E,
br-j09,9ZdU,replace,2 or by allowing the,"""cone sphere""","""cone-sphere""",gradient to become established more,
br-j09,ncBv,replace,Method 6 of Cohn et,al.,al..,These fractions were tested for,
br-j09,E+5J,replace,slight activity seen in Fraction,"4, - 1.","4,-1.",A sample of Fraction **f,
br-j10,iDsH,replace,is filled with that famous,pollen and nectar,pollen-and-nectar,mixture called beebread. She also,
br-j10,nPDB,replace,"the onslaughts of Psithyrus, the","""cuckoo bumblebee""","""cuckoo-bumblebee""",as it is called in,
br-j11,igF2,replace,"20, and the boa constrictor",18 - 1 2.,18-1/2.,Bernard Heuvelmans also treats of,
br-j11,sP8T,replace,in length from 22 to,33 - 1 2,33-1/2,inches and averaged 29 inches.,
br-j11,BZTs,replace,had one that increased from,19 - 1 2,19-1/2,inches to 5 feet 3,
br-j11,kRiS,replace,is open to question. Oliver's,37 - 1 2,37-1/2,feet is partly based on,
br-j12,FWg2,replace,the respiratory bronchiole. No bronchial,artery pulmonary,artery-pulmonary,artery anastomoses were noted in,
br-j12,MGkb,replace,"lung as in type 1,.",Air drifts,Air-drifts,from one area to another,
br-j12,p9kX,replace,presence of normally occurring bronchial,artery pulmonary,artery-pulmonary,artery anastomoses was first noted,
br-j12,jZO1,replace,own studies in which bronchial,artery pulmonary,artery-pulmonary,"artery anastomoses were demonstrated, were",
br-j12,A16f,replace,the normal existence of bronchial,artery pulmonary,artery-pulmonary,artery anastomoses. Verloop (' 48;,
br-j12,9ubi,replace,artery pulmonary artery anastomoses. Verloop,(' 48;,('48;,'49) found these shunts in,
br-j12,nm2X,replace,to demonstrate normally occurring bronchial,artery pulmonary,artery-pulmonary,"artery shunts in certain species,",
br-j13,VQMi,replace,age and completion age was,"+ .50,","&.50,",and that between onset age,
br-j14,cyzF,replace,increased in thyroid glands from,TSH treated,TSH-treated,animals suggests that this protease,
br-j14,npuv,replace,small univalent anion of the,thiocyanate perchlorate fluoroboride,thiocyanate-perchlorate-fluoroboride,type. This ion inhibits thyroid,
br-j14,99op,replace,The most conclusively identified is,"L - 5 - vinyl - 2 - thio oxazolidone,","L-5-vinyl-2-thio-oxazolidone,",which was isolated from rutabaga,
br-j14,CfBo,replace,between the pituitary and the,thyroid. .,thyroid..,This connection was clarified by,
br-j15,kPNe,replace,anemia. This patient was a,65 - year old,65-year-old,white male accountant who entered,
br-j15,ucgK,delete,"the hands and feet, but",more,,"marked in the shoulders, hips,",
br-j15,nDf5,replace,tests yielded normal results. The,protein bound,protein-bound,"iodine was 6.6 | mg.%,",
br-j15,nDf5,replace,The protein bound iodine was,"6.6 | mg.%,","6.6|mg. %,",and the radioactive iodine uptake,
br-j15,Zzv0,replace,of D8 was found. A,high protein,high-protein,"diet, calcium lactate supplements, and",
br-j15,mctt,replace,body was that of a,"well developed,","well-developed,",somewhat debilitated white man weighing,
br-j15,6uBD,replace,throughout was hyperemic and mottled,green brown.,green-brown.,A careful search failed to,
br-j15,RHHb,replace,"nuclei, and showed loss of","cross striations,","cross-striations,","obliteration of myofibrils, and prominent",
br-j16,4ElY,replace,in a cryostat maintained at,- 16',-16',to - 20'. The sections,
br-j16,4ElY,replace,maintained at - 16' to,- 20'.,-20'.,The sections were mounted on,
br-j16,tCXl,replace,an additional treatment of the,DEAE cellulose treated,DEAE-cellulose-treated,**f with 50 mg of,
br-j16,Sfnf,replace,irregularly distributed in the cytoplasm.,Wound tumor,Wound-tumor,virus is a leafhopper transmitted,
br-j17,YGhW,replace,only an increase in the,parasympathetic,parsympathetic,reactivity this structure to direct,
br-j18,m7YW,replace,linear operator T on the,finite dimensional,finite-dimensional,"space V, by decomposing T",
br-j18,D9Hi,replace,a linear operator on the,finite dimensional,finite-dimensional,vector space V over the,
br-j18,oAeH,replace,a linear operator on the,finite dimensional,finite-dimensional,vector space V over the,
br-j18,nQB8,replace,**f. Let V be a,finite dimensional,finite-dimensional,vector space over an algebraically,
br-j18,d6PB,replace,there is a monic polynomial,P,p,"such that **f, then parts",
br-j18,+Bi9,replace,null space of the operator,"p (D),","p(D),",because **f simply says **f.,
br-j19,/+Iv,replace,"either a ""success"" or a",""" non success "" ("" failure ""),","""non-success"" (""failure""),",and that the probability of,
br-j19,nv1J,replace,more expressive than labels like,""" A ""","""A""","and "" not - A",
br-j19,nv1J,replace,"like "" A "" and",""" not - A "".","""not-A"".",It is natural from the,
br-j19,mz2p,replace,have arbitrarily constructed the classes,"""ace""and "" not ace "".","""ace"" and ""not-ace"".","We classify mice as """,
br-j19,fr2d,replace,""". We classify mice as",""" straight haired ""","""straight-haired""","or "" wavy haired "",",
br-j19,fr2d,replace,""" straight haired "" or",""" wavy haired "",","""wavy-haired"",",but a hairless mouse appears.,
br-j19,2A56,replace,"the three dice fall ace,","not ace,","not-ace,",ace in that order is,
br-j19,2A56,replace,ace in that order is,(1 6) (5 6) (1 6).,(1/6)(5/6)(1/6).,"Experimentally, we expect independence when",
br-j20,GiPs,replace,curve C which is a,real analytic,real-analytic,"image of the unit circle,",
br-j20,UiNp,replace,denoted by **f. The function,f (t),f(t),defined in this way is,
br-j20,UiNp,replace,defined in this way is,multi valued.,multi-valued.,We consider now the graph,
br-j20,ij7G,replace,the graph of the function,f (t),f(t),on **f. We will refer,
br-j20,+W/3,replace,will denote the values of,f (t),f(t),on different components by **f.,
br-j20,P6wm,replace,the function f is a,"single valued,","single-valued,",continuous function. We first show,
br-j20,z7qc,replace,these functions is also a,"single valued,","single-valued,","analytic function of u. Furthermore,",
br-j20,vNB0,replace,"monotone function. Therefore, **f is",single valued,single-valued,near Q. It is also,
br-j20,H1rd,replace,"point itself, where it is",single valued.,single-valued.,A tangent point Q in,
br-j20,IXbZ,replace,the f-plane the function is,two valued,two-valued,or no valued on one,
br-j20,IXbZ,replace,function is two valued or,no valued,no-valued,"on one side, and is",
